time,pelvis_tilt_gold,pelvis_tilt_rec,pelvis_list_gold,pelvis_list_rec,pelvis_rotation_gold,pelvis_rotation_rec,pelvis_tx_gold,pelvis_tx_rec,pelvis_ty_gold,pelvis_ty_rec,pelvis_tz_gold,pelvis_tz_rec,hip_flexion_r_gold,hip_flexion_r_rec,hip_adduction_r_gold,hip_adduction_r_rec,hip_rotation_r_gold,hip_rotation_r_rec,knee_angle_r_gold,knee_angle_r_rec,ankle_angle_r_gold,ankle_angle_r_rec,subtalar_angle_r_gold,subtalar_angle_r_rec,mtp_angle_r_gold,mtp_angle_r_rec,hip_flexion_l_gold,hip_flexion_l_rec,hip_adduction_l_gold,hip_adduction_l_rec,hip_rotation_l_gold,hip_rotation_l_rec,knee_angle_l_gold,knee_angle_l_rec,ankle_angle_l_gold,ankle_angle_l_rec,subtalar_angle_l_gold,subtalar_angle_l_rec,mtp_angle_l_gold,mtp_angle_l_rec,lumbar_extension_gold,lumbar_extension_rec,lumbar_bending_gold,lumbar_bending_rec,lumbar_rotation_gold,lumbar_rotation_rec,arm_flex_r_gold,arm_flex_r_rec,arm_add_r_gold,arm_add_r_rec,arm_rot_r_gold,arm_rot_r_rec,elbow_flex_r_gold,elbow_flex_r_rec,pro_sup_r_gold,pro_sup_r_rec,arm_flex_l_gold,arm_flex_l_rec,arm_add_l_gold,arm_add_l_rec,arm_rot_l_gold,arm_rot_l_rec,elbow_flex_l_gold,elbow_flex_l_rec,pro_sup_l_gold,pro_sup_l_rec
1.09,0.0185829,-0.0240088,0.0257354,0.0221895,0.0494618,0.0492311,-0.652937,-0.669476,1.41513,1.41112,-0.568278,-0.56948,0.0834288,0.168203,0.021431,-0.00418503,-0.168134,-0.0784461,0.395041,0.447163,-0.199081,-0.237683,-0.274669,-0.434874,-0.0942352,-0.00454865,0.27443,0.365073,-0.0192748,-0.0472316,-0.0971089,-0.024379,0.332487,0.404979,-0.269798,-0.249272,0.0206291,-0.0373808,-0.0942352,-0.00454865,-0.134383,-0.094269,0.0490792,0.0582489,-0.343663,-0.330934,0.882618,0.818117,-0.470385,-0.453973,0.524253,0.52,1.99847,2.14229,1.93244,1.97842,-0.5178,-0.438191,-0.844028,-0.789198,-0.893976,-0.790236,2.14819,2.23756,1.61601,1.71936
1.1,0.0241744,-0.0183315,0.0237231,0.0209706,0.0435522,0.0429054,-0.641902,-0.658522,1.41022,1.40629,-0.567702,-0.568883,0.0890677,0.173585,0.0245443,-0.00185245,-0.165434,-0.0743408,0.362314,0.41415,-0.219366,-0.254205,-0.249976,-0.406597,-0.0969577,-0.00454865,0.259829,0.350184,-0.0228236,-0.0511736,-0.10083,-0.0265766,0.285415,0.357645,-0.28091,-0.258873,0.0365343,-0.0223151,-0.0969577,-0.00454865,-0.144063,-0.104338,0.0460738,0.0550539,-0.360383,-0.347452,0.878611,0.813876,-0.472999,-0.456011,0.54944,0.544838,1.9909,2.13313,1.93319,1.98121,-0.606263,-0.518529,-0.826134,-0.776185,-0.979421,-0.868432,2.16654,2.25419,1.60968,1.71504
1.11,0.0264676,-0.0164019,0.0213164,0.0192703,0.0372983,0.0362404,-0.631006,-0.647734,1.4042,1.40033,-0.567178,-0.568337,0.0984201,0.183153,0.0276016,0.00054989,-0.161046,-0.0687366,0.329111,0.380638,-0.239973,-0.269599,-0.217499,-0.368917,-0.0980124,-0.00454865,0.249406,0.339873,-0.0262618,-0.0551415,-0.101158,-0.025625,0.239721,0.311443,-0.287202,-0.264143,0.0489116,-0.0114347,-0.0980124,-0.00454865,-0.147776,-0.108044,0.0431359,0.0517318,-0.355583,-0.342362,0.858736,0.793905,-0.495635,-0.476789,0.560134,0.554798,1.99761,2.13675,1.93305,1.9825,-0.64754,-0.555554,-0.823866,-0.776105,-1.01146,-0.896675,2.17165,2.25864,1.6065,1.71226
1.12,0.0265068,-0.0170021,0.0185001,0.0169662,0.031251,0.0297204,-0.620236,-0.637074,1.39692,1.39309,-0.566788,-0.567923,0.109194,0.194384,0.0308397,0.00327116,-0.155444,-0.0620336,0.293552,0.344649,-0.258662,-0.28252,-0.179969,-0.325847,-0.0994888,-0.00454865,0.242211,0.333001,-0.0299864,-0.0596723,-0.100332,-0.0237921,0.196182,0.267184,-0.285847,-0.262453,0.0573614,-0.00547139,-0.0994888,-0.00454865,-0.149661,-0.109535,0.0413305,0.0497663,-0.35854,-0.345331,0.849441,0.784383,-0.513345,-0.49294,0.581102,0.575111,1.99736,2.13393,1.9327,1.98362,-0.70155,-0.605865,-0.81075,-0.766169,-1.05863,-0.940862,2.18064,2.26675,1.60335,1.70965
1.13,0.0267373,-0.0171021,0.015093,0.01375,0.0254225,0.0233192,-0.609449,-0.626355,1.38858,1.3848,-0.566381,-0.567496,0.11893,0.204172,0.0344925,0.00665617,-0.151114,-0.0568243,0.256955,0.30754,-0.274718,-0.292199,-0.136768,-0.276764,-0.10148,-0.00454865,0.236236,0.326929,-0.0350537,-0.065967,-0.101341,-0.0240729,0.156267,0.226408,-0.281272,-0.257565,0.0674748,0.0023267,-0.10148,-0.00454865,-0.152221,-0.111952,0.0403584,0.0490017,-0.363064,-0.350002,0.841995,0.776816,-0.533308,-0.51118,0.607646,0.601122,1.99728,2.1309,1.93246,1.98477,-0.75685,-0.658451,-0.791947,-0.750701,-1.10764,-0.988014,2.19049,2.27572,1.60174,1.70847
1.14,0.0272837,-0.0165868,0.0117944,0.0105921,0.0200758,0.0173999,-0.59864,-0.615579,1.37928,1.37556,-0.565781,-0.566877,0.12835,0.213259,0.0379101,0.0097522,-0.148436,-0.0534791,0.22131,0.271335,-0.291194,-0.302759,-0.0945801,-0.229104,-0.101993,-0.00454865,0.230346,0.32051,-0.040408,-0.0726486,-0.103078,-0.0254828,0.11813,0.187258,-0.276916,-0.252765,0.0786473,0.0116603,-0.101993,-0.00454865,-0.154242,-0.114137,0.0388306,0.0476075,-0.354951,-0.342047,0.822381,0.75744,-0.566395,-0.541454,0.622227,0.615443,2.00921,2.13869,1.9331,1.98619,-0.789987,-0.689606,-0.787284,-0.747565,-1.13157,-1.01022,2.19594,2.2808,1.60158,1.70837
1.15,0.0289668,-0.0140475,0.0102868,0.00982645,0.0156369,0.0128995,-0.587881,-0.604708,1.36891,1.36527,-0.565239,-0.566317,0.139009,0.222657,0.0369066,0.00771916,-0.159424,-0.0639038,0.192947,0.242727,-0.290877,-0.294421,-0.0306816,-0.158327,-0.103634,-0.00454865,0.224541,0.312984,-0.0441195,-0.0769598,-0.107681,-0.0302515,0.0834786,0.151406,-0.268438,-0.24307,0.0978967,0.0301668,-0.103634,-0.00454865,-0.158284,-0.119012,0.0349587,0.0432667,-0.360085,-0.348374,0.814779,0.749874,-0.590228,-0.562853,0.649469,0.642498,2.0112,2.1372,1.93173,1.98593,-0.846038,-0.74425,-0.767475,-0.730931,-1.17816,-1.05611,2.20626,2.29046,1.60096,1.70813
1.16,0.029562,-0.0136004,0.00857976,0.00855919,0.0107154,0.00751632,-0.577226,-0.594046,1.35751,1.35389,-0.56468,-0.565742,0.149213,0.232596,0.0383251,0.00844202,-0.156756,-0.0609011,0.161901,0.211099,-0.310215,-0.30971,0.00170668,-0.121767,-0.103255,-0.00454865,0.220286,0.308239,-0.0478094,-0.081575,-0.108641,-0.0317997,0.0510148,0.117835,-0.265759,-0.240019,0.106491,0.0377436,-0.103255,-0.00454865,-0.160069,-0.120714,0.0313921,0.0394084,-0.351729,-0.340747,0.795044,0.730614,-0.628538,-0.597636,0.663149,0.656648,2.02515,2.14695,1.94629,1.99579,-0.881229,-0.778342,-0.761519,-0.726259,-1.20038,-1.07738,2.21026,2.29473,1.60726,1.71016
1.17,0.0326001,-0.00857395,0.00797026,0.00852204,0.00885021,0.0056718,-0.566396,-0.582952,1.34513,1.34163,-0.564426,-0.565484,0.157606,0.238346,0.0356957,0.00453676,-0.176214,-0.0799816,0.136056,0.185064,-0.31248,-0.305703,0.0583007,-0.0599904,-0.103797,-0.00454865,0.217429,0.302322,-0.0509796,-0.0852747,-0.122572,-0.046259,0.0278345,0.0936561,-0.257832,-0.23055,0.130613,0.0622879,-0.103797,-0.00454865,-0.165424,-0.127914,0.0260474,0.0337298,-0.35582,-0.346599,0.779601,0.71633,-0.659464,-0.625163,0.677102,0.671786,2.03734,2.15501,1.94781,1.99744,-0.934933,-0.831451,-0.741686,-0.708823,-1.24233,-1.11911,2.22201,2.30599,1.61003,1.71333
1.18,0.0339196,-0.00585096,0.00712396,0.00781901,0.00815011,0.00458459,-0.555547,-0.571847,1.33153,1.32812,-0.56431,-0.565355,0.166564,0.245132,0.0345402,0.00251178,-0.187625,-0.0912213,0.110283,0.158776,-0.324818,-0.314821,0.0885027,-0.0269041,-0.10621,-0.00454865,0.220473,0.303154,-0.054742,-0.0898873,-0.143054,-0.0669454,0.014757,0.0802384,-0.256255,-0.227632,0.154351,0.0866325,-0.10621,-0.00454865,-0.167131,-0.130798,0.0215599,0.0292461,-0.358623,-0.350951,0.764124,0.702328,-0.696266,-0.658158,0.69461,0.690738,2.05634,2.16866,1.91741,1.97328,-0.982779,-0.879385,-0.721672,-0.690386,-1.27497,-1.15208,2.23343,2.31663,1.60004,1.70497
1.19,0.0360061,-0.00200024,0.00675897,0.00757481,0.00908227,0.00516246,-0.544447,-0.560456,1.31697,1.31367,-0.564472,-0.565513,0.173454,0.24938,0.0325805,-0.000455286,-0.199508,-0.103153,0.0864831,0.134351,-0.336339,-0.324429,0.107794,-0.00594599,-0.108285,-0.00454865,0.225228,0.305376,-0.0577671,-0.0935279,-0.167276,-0.0911258,0.00998962,0.0754327,-0.2644,-0.234562,0.174435,0.107761,-0.108285,-0.00454865,-0.168232,-0.13345,0.0167556,0.024396,-0.360563,-0.354559,0.741528,0.681953,-0.737686,-0.695313,0.702804,0.701212,2.08034,2.18711,1.89498,1.95538,-1.02576,-0.922802,-0.701236,-0.671075,-1.30154,-1.17914,2.24649,2.32858,1.58786,1.69554
1.2,0.0395314,0.00306108,0.00650626,0.00748771,0.0104342,0.00623987,-0.533026,-0.548781,1.30151,1.29828,-0.564908,-0.56596,0.177258,0.250811,0.0306483,-0.00345902,-0.207835,-0.111823,0.0647273,0.111885,-0.347033,-0.334498,0.115391,0.00218574,-0.108708,-0.00454865,0.227855,0.305821,-0.0600179,-0.0960931,-0.187348,-0.1111,0.00874993,0.0741765,-0.284149,-0.253552,0.184456,0.119064,-0.108708,-0.00454865,-0.169176,-0.135783,0.0129137,0.0203087,-0.361367,-0.357284,0.717935,0.660965,-0.784413,-0.737247,0.708625,0.710243,2.10766,2.20903,1.89639,1.95528,-1.06448,-0.962481,-0.679059,-0.649556,-1.32193,-1.20068,2.25786,2.3392,1.58845,1.69527
1.21,0.0458176,0.0112708,0.00749317,0.00906632,0.0126422,0.00850831,-0.521122,-0.536592,1.28529,1.28213,-0.565377,-0.56643,0.178898,0.249791,0.0261185,-0.00940337,-0.221415,-0.125523,0.0514792,0.0981851,-0.346888,-0.333811,0.124182,0.0109242,-0.113164,-0.00454865,0.226229,0.30159,-0.0610239,-0.0967325,-0.20498,-0.128684,0.0097953,0.0751308,-0.308398,-0.276882,0.192611,0.129097,-0.113164,-0.00454865,-0.173164,-0.141637,0.00643324,0.0131041,-0.355345,-0.353448,0.661844,0.610397,-0.835516,-0.78271,0.672703,0.680447,2.14332,2.23942,1.92065,1.97338,-1.10009,-0.998526,-0.662814,-0.63381,-1.33679,-1.21533,2.27454,2.35454,1.58479,1.69253
1.22,0.0542777,0.0208878,0.00794145,0.0101576,0.0173039,0.0139545,-0.508951,-0.524196,1.26826,1.26505,-0.566089,-0.567152,0.179602,0.249033,0.0200259,-0.0170078,-0.240788,-0.144783,0.0477815,0.0947824,-0.344133,-0.330272,0.135724,0.0224719,-0.115319,-0.00454865,0.221569,0.295349,-0.0616889,-0.0961743,-0.206288,-0.129674,0.0137056,0.0785835,-0.337225,-0.305756,0.183836,0.122046,-0.115319,-0.00454865,-0.178154,-0.147779,0.00131619,0.00704042,-0.352708,-0.353849,0.600957,0.556295,-0.888597,-0.829983,0.636682,0.651392,2.18218,2.27176,1.89613,1.95517,-1.13511,-1.03468,-0.640487,-0.612022,-1.35014,-1.22932,2.29338,2.3716,1.57521,1.68528
1.23,0.0644869,0.0318501,0.00800703,0.0107651,0.0226481,0.020175,-0.496505,-0.511556,1.25047,1.24715,-0.566925,-0.567999,0.179156,0.247751,0.0134712,-0.0247975,-0.259996,-0.163558,0.051617,0.0992343,-0.346385,-0.332317,0.140405,0.0270984,-0.116644,-0.00454865,0.215884,0.288743,-0.0629544,-0.0959823,-0.203439,-0.126177,0.0238175,0.0884168,-0.365684,-0.334618,0.169472,0.109254,-0.116644,-0.00454865,-0.184605,-0.15509,-0.00212007,0.00255234,-0.338639,-0.342566,0.498699,0.466101,-0.948567,-0.883786,0.555926,0.583238,2.2299,2.31299,1.90542,1.96345,-1.15691,-1.05736,-0.630241,-0.601516,-1.3493,-1.2282,2.31063,2.38756,1.58169,1.69085
1.24,0.0760826,0.0439087,0.0078446,0.0108162,0.02919,0.0274345,-0.483985,-0.498825,1.23182,1.2283,-0.567918,-0.569008,0.17706,0.245191,0.00691781,-0.0321698,-0.277815,-0.180694,0.060176,0.108534,-0.35935,-0.346242,0.131658,0.0180171,-0.118177,-0.00454865,0.212641,0.285157,-0.0656311,-0.0972699,-0.204547,-0.126127,0.0449703,0.109846,-0.390411,-0.35958,0.158741,0.100277,-0.118177,-0.00454865,-0.192775,-0.163894,-0.00424323,-0.000359766,-0.319518,-0.325534,0.353056,0.339855,-1.00453,-0.934852,0.430356,0.477355,2.28264,2.35908,1.90658,1.96698,-1.17331,-1.07438,-0.623191,-0.594213,-1.34238,-1.22038,2.32883,2.4042,1.58733,1.69693
1.25,0.0885662,0.0561407,0.00741567,0.0102077,0.0370769,0.0359051,-0.471538,-0.486191,1.21222,1.2084,-0.569049,-0.570164,0.174144,0.242725,0.000656628,-0.0387481,-0.291399,-0.193489,0.0737955,0.123028,-0.379882,-0.368963,0.10842,-0.00588523,-0.12003,-0.00454865,0.212693,0.285967,-0.0695449,-0.0998002,-0.20579,-0.125927,0.0771201,0.142751,-0.413009,-0.382202,0.150579,0.0945173,-0.12003,-0.00454865,-0.202473,-0.173559,-0.00455781,-0.00111085,-0.29495,-0.302354,0.151567,0.168239,-1.04634,-0.974771,0.246072,0.322974,2.33888,2.40865,1.90748,1.97271,-1.18299,-1.08433,-0.621567,-0.592166,-1.32859,-1.20549,2.34502,2.41851,1.5987,1.7129
1.26,0.101897,0.0685341,0.00674304,0.00917892,0.0447635,0.044072,-0.45932,-0.473813,1.1917,1.18746,-0.570134,-0.57127,0.172867,0.242895,-0.00600543,-0.0451464,-0.302737,-0.203634,0.0973725,0.147666,-0.397483,-0.389191,0.0822566,-0.032805,-0.122038,-0.00454865,0.21467,0.289634,-0.074175,-0.102877,-0.202826,-0.121803,0.117697,0.184191,-0.434527,-0.403391,0.146197,0.0937832,-0.122038,-0.00454865,-0.214111,-0.184576,-0.00347687,-0.000275495,-0.263239,-0.270539,-0.102883,-0.0512537,-1.05874,-0.990453,0.0069702,0.118417,2.3947,2.45869,1.91212,1.98078,-1.1839,-1.0848,-0.625121,-0.596209,-1.30668,-1.18129,2.36044,2.43211,1.6148,1.73018
1.27,0.115645,0.0802164,0.00642347,0.00854111,0.0508113,0.0503144,-0.447589,-0.462007,1.17014,1.16529,-0.571131,-0.572259,0.175839,0.248858,-0.0133524,-0.0515114,-0.304365,-0.203801,0.134338,0.185678,-0.412987,-0.408324,0.0480009,-0.0676925,-0.124177,-0.00454865,0.219498,0.297596,-0.0781635,-0.105024,-0.192453,-0.111089,0.167817,0.235289,-0.453742,-0.422781,0.13451,0.086158,-0.124177,-0.00454865,-0.227409,-0.196175,-0.00133841,0.0015539,-0.228301,-0.233853,-0.357934,-0.280457,-1.03261,-0.971967,-0.239327,-0.102796,2.44727,2.50666,1.91958,1.99265,-1.17771,-1.07793,-0.626804,-0.599686,-1.27662,-1.14898,2.37403,2.44322,1.62381,1.73889
1.28,0.131095,0.0926903,0.00626573,0.00806272,0.0550269,0.0545609,-0.436372,-0.450804,1.14761,1.14197,-0.57204,-0.573115,0.182197,0.259479,-0.0209969,-0.0574236,-0.294127,-0.192812,0.183136,0.235626,-0.436625,-0.434451,0.0146729,-0.0978649,-0.125304,-0.00454865,0.225814,0.308163,-0.0810536,-0.105952,-0.1712,-0.0906666,0.224799,0.293191,-0.473336,-0.443245,0.108788,0.0650181,-0.125304,-0.00454865,-0.242624,-0.208612,0.00136443,0.00397389,-0.199755,-0.203479,-0.548153,-0.4598,-0.97982,-0.927317,-0.424122,-0.278028,2.48682,2.54264,1.93062,2.00516,-1.17139,-1.07217,-0.614334,-0.589494,-1.24719,-1.11975,2.38635,2.45224,1.6303,1.74525
1.29,0.146734,0.104381,0.00656859,0.00800917,0.0587115,0.0580738,-0.425867,-0.440421,1.12421,1.1176,-0.57284,-0.573793,0.193191,0.275816,-0.0276388,-0.0616755,-0.26577,-0.165238,0.240988,0.294337,-0.464255,-0.463092,-0.0172575,-0.12267,-0.126141,-0.00454865,0.236591,0.324217,-0.0807313,-0.103639,-0.13695,-0.0588266,0.287731,0.356824,-0.491867,-0.463058,0.0720644,0.0334949,-0.126141,-0.00454865,-0.258829,-0.220842,0.00368697,0.00604498,-0.180959,-0.182823,-0.667631,-0.578905,-0.916372,-0.870214,-0.540941,-0.396652,2.51348,2.56662,1.93901,2.01324,-1.16591,-1.06853,-0.585993,-0.563975,-1.21982,-1.0953,2.39551,2.45759,1.6362,1.74976
1.3,0.159496,0.113127,0.00599332,0.00682438,0.0608577,0.0597503,-0.4163,-0.430921,1.09983,1.09216,-0.573275,-0.574039,0.214975,0.302641,-0.0307027,-0.0613815,-0.224318,-0.127156,0.322847,0.375989,-0.430563,-0.431404,-0.0506495,-0.152584,-0.126801,-0.00454865,0.255921,0.34872,-0.0792073,-0.100802,-0.0999642,-0.0260094,0.365768,0.435418,-0.46293,-0.437041,0.0312394,-0.00581854,-0.126801,-0.00454865,-0.273668,-0.231119,0.00576835,0.00813091,-0.168521,-0.168695,-0.733747,-0.64945,-0.850693,-0.809319,-0.607392,-0.470564,2.52843,2.57969,1.94201,2.01404,-1.15988,-1.06585,-0.545591,-0.526405,-1.19173,-1.07271,2.40163,2.45959,1.63863,1.74992
