time,pelvis_tilt_gold,pelvis_tilt_rec,pelvis_list_gold,pelvis_list_rec,pelvis_rotation_gold,pelvis_rotation_rec,pelvis_tx_gold,pelvis_tx_rec,pelvis_ty_gold,pelvis_ty_rec,pelvis_tz_gold,pelvis_tz_rec,hip_flexion_r_gold,hip_flexion_r_rec,hip_adduction_r_gold,hip_adduction_r_rec,hip_rotation_r_gold,hip_rotation_r_rec,knee_angle_r_gold,knee_angle_r_rec,ankle_angle_r_gold,ankle_angle_r_rec,subtalar_angle_r_gold,subtalar_angle_r_rec,mtp_angle_r_gold,mtp_angle_r_rec,hip_flexion_l_gold,hip_flexion_l_rec,hip_adduction_l_gold,hip_adduction_l_rec,hip_rotation_l_gold,hip_rotation_l_rec,knee_angle_l_gold,knee_angle_l_rec,ankle_angle_l_gold,ankle_angle_l_rec,subtalar_angle_l_gold,subtalar_angle_l_rec,mtp_angle_l_gold,mtp_angle_l_rec,lumbar_extension_gold,lumbar_extension_rec,lumbar_bending_gold,lumbar_bending_rec,lumbar_rotation_gold,lumbar_rotation_rec,arm_flex_r_gold,arm_flex_r_rec,arm_add_r_gold,arm_add_r_rec,arm_rot_r_gold,arm_rot_r_rec,elbow_flex_r_gold,elbow_flex_r_rec,pro_sup_r_gold,pro_sup_r_rec,arm_flex_l_gold,arm_flex_l_rec,arm_add_l_gold,arm_add_l_rec,arm_rot_l_gold,arm_rot_l_rec,elbow_flex_l_gold,elbow_flex_l_rec,pro_sup_l_gold,pro_sup_l_rec
0.044,0.0356007,0.0790249,-0.109395,-0.10791,0.0375433,0.0537521,-5.2559,-5.26365,1.04846,1.0422,0.132575,0.132798,0.45154,0.423684,0.160722,0.139478,-0.220941,-0.238995,0.370351,0.385337,-0.104716,-0.125774,0.0558795,0.0734364,-0.522238,-0.455877,-0.250083,-0.300385,-0.0595227,-0.0943208,0.0332067,0.0416772,1.62487,1.60364,-0.269416,-0.235478,-0.320345,-0.213442,-0.138414,-0.0116222,-0.258161,-0.296594,0.135909,0.136687,-0.117264,-0.12476,-0.874039,-0.819332,-0.364236,-0.29424,-0.10315,-0.15151,1.59083,1.49651,1.5708,1.5708,-0.275728,-0.238368,-0.188944,-0.123617,-0.0705868,-0.107644,2.00291,1.93596,1.5708,1.5708
0.048,0.0360881,0.0788027,-0.116033,-0.115413,0.0344901,0.0504584,-5.23671,-5.24457,1.04513,1.03877,0.133198,0.133318,0.450479,0.423806,0.171405,0.151066,-0.204031,-0.222329,0.39743,0.412241,-0.103974,-0.125669,0.0418801,0.0593425,-0.477876,-0.423584,-0.227199,-0.275239,-0.0690237,-0.104354,0.0322085,0.0414424,1.67186,1.65218,-0.263201,-0.230359,-0.312778,-0.206255,-0.178273,-0.0584405,-0.263282,-0.301063,0.141875,0.143801,-0.106454,-0.113132,-0.85271,-0.798747,-0.369849,-0.300031,-0.100841,-0.149545,1.5944,1.50093,1.5708,1.5708,-0.278509,-0.239851,-0.187453,-0.121761,-0.0787435,-0.116737,1.97227,1.90335,1.5708,1.5708
0.052,0.0370279,0.0787956,-0.123951,-0.124232,0.0341394,0.0497599,-5.21767,-5.22564,1.04166,1.03518,0.133988,0.134008,0.44903,0.423911,0.183255,0.163948,-0.185714,-0.204169,0.426302,0.441301,-0.092225,-0.112538,0.0389799,0.0573093,-0.424584,-0.358346,-0.201381,-0.246758,-0.0819385,-0.117971,0.0330587,0.0430834,1.72165,1.70357,-0.258486,-0.225428,-0.306166,-0.199669,-0.196756,-0.0733765,-0.268995,-0.305897,0.148819,0.152131,-0.0973725,-0.103047,-0.829281,-0.776406,-0.37556,-0.305984,-0.0963996,-0.145688,1.59753,1.50512,1.5708,1.5708,-0.28965,-0.250664,-0.191877,-0.125083,-0.0647292,-0.103537,1.94237,1.87113,1.5708,1.5708
0.056,0.0389621,0.0801065,-0.129349,-0.130383,0.034028,0.0493288,-5.19835,-5.20639,1.03811,1.03154,0.134207,0.134149,0.445853,0.42176,0.191588,0.173098,-0.175856,-0.194404,0.458733,0.473799,-0.0554048,-0.0756305,0.0380631,0.0562266,-0.320881,-0.254513,-0.17844,-0.221788,-0.0902001,-0.126832,0.036561,0.047438,1.76682,1.74997,-0.240188,-0.207715,-0.292825,-0.187279,-0.17954,-0.060741,-0.27506,-0.311406,0.154458,0.158897,-0.0891092,-0.0938595,-0.807822,-0.755748,-0.381716,-0.312376,-0.095437,-0.145105,1.60074,1.50928,1.5708,1.5708,-0.289665,-0.248996,-0.188385,-0.121413,-0.0785262,-0.118607,1.90535,1.83182,1.5708,1.5708
0.06,0.0391695,0.0795268,-0.13347,-0.136153,0.0179142,0.032504,-5.17798,-5.18611,1.03429,1.02763,0.13598,0.135712,0.443202,0.420365,0.206889,0.189782,-0.156139,-0.174693,0.499462,0.514504,-0.00932855,-0.0290854,0.024784,0.0428002,-0.189661,-0.120294,-0.159335,-0.200724,-0.0960065,-0.133402,0.0232781,0.034595,1.80605,1.79089,-0.225518,-0.193143,-0.285094,-0.179637,-0.180351,-0.0623248,-0.278794,-0.314624,0.154562,0.160427,-0.0663838,-0.0697349,-0.787907,-0.736757,-0.388759,-0.319727,-0.0930792,-0.143166,1.60534,1.51497,1.5708,1.5708,-0.298863,-0.256737,-0.190652,-0.123087,-0.0831671,-0.123996,1.87481,1.799,1.5708,1.5708
0.064,0.0392173,0.0794479,-0.137544,-0.140482,0.0275164,0.0419254,-5.15993,-5.16807,1.03032,1.02361,0.135136,0.134834,0.44398,0.421689,0.209203,0.192408,-0.168187,-0.1866,0.541125,0.556614,0.0499685,0.0284461,0.0144967,0.0311789,-0.0263966,0.0255137,-0.126693,-0.16639,-0.103555,-0.141365,0.0386627,0.0512809,1.85496,1.84082,-0.212735,-0.179282,-0.271289,-0.166111,-0.171637,-0.0423062,-0.284375,-0.319984,0.161355,0.168264,-0.0677618,-0.0703841,-0.761818,-0.711841,-0.396012,-0.32724,-0.0906908,-0.141172,1.60884,1.51962,1.5708,1.5708,-0.302642,-0.259741,-0.191056,-0.122949,-0.082868,-0.124724,1.84439,1.76652,1.5708,1.5708
0.068,0.0369975,0.0769166,-0.141007,-0.144966,0.0219486,0.035734,-5.14153,-5.14969,1.0263,1.01954,0.135659,0.135212,0.444868,0.423333,0.218866,0.202965,-0.16416,-0.182315,0.580774,0.596744,0.104429,0.0842451,0.00447971,0.0212474,0.0239725,0.0883942,-0.0957752,-0.133757,-0.109505,-0.147829,0.0392423,0.0527167,1.89858,1.88586,-0.202915,-0.170102,-0.258485,-0.153795,-0.18708,-0.0605625,-0.28899,-0.324386,0.163982,0.172074,-0.0548455,-0.056193,-0.736146,-0.687432,-0.403967,-0.335565,-0.0883882,-0.139301,1.61339,1.52546,1.5708,1.5708,-0.306011,-0.262091,-0.190359,-0.12161,-0.0837918,-0.126772,1.81177,1.73153,1.5708,1.5708
0.072,0.030206,0.0703133,-0.146411,-0.151435,0.0206948,0.0338972,-5.12369,-5.13186,1.02177,1.01501,0.13576,0.135197,0.450807,0.429578,0.228209,0.213413,-0.165655,-0.183543,0.614603,0.631011,0.146343,0.12417,-0.0148784,0.000858669,0.0826242,0.123419,-0.0531826,-0.0897267,-0.117284,-0.156408,0.0529622,0.0676396,1.94978,1.93821,-0.180558,-0.148258,-0.215503,-0.112763,-0.149992,-0.0193788,-0.288728,-0.324359,0.169668,0.179168,-0.0459168,-0.0457724,-0.708858,-0.661697,-0.412721,-0.344779,-0.0858211,-0.137445,1.61596,1.52955,1.5708,1.5708,-0.309602,-0.264776,-0.190564,-0.12104,-0.0820512,-0.126097,1.77848,1.69585,1.5708,1.5708
0.076,0.0329665,0.0727573,-0.146397,-0.152201,0.0147851,0.0273005,-5.1049,-5.11304,1.01843,1.0116,0.135841,0.13515,0.444655,0.423772,0.233179,0.219021,-0.165492,-0.183139,0.648026,0.664725,0.176445,0.155735,-0.0448118,-0.0285261,0.107551,0.158869,-0.0312664,-0.0665476,-0.118576,-0.157959,0.0461471,0.0613632,1.98092,1.97062,-0.182449,-0.150211,-0.232621,-0.12915,-0.181353,-0.0565692,-0.298142,-0.33353,0.169015,0.179329,-0.0328008,-0.0315772,-0.681731,-0.635606,-0.421768,-0.354166,-0.0837266,-0.135601,1.61822,1.53268,1.5708,1.5708,-0.313829,-0.268142,-0.189385,-0.11927,-0.0798009,-0.125466,1.74202,1.65662,1.5708,1.5708
0.08,0.031823,0.0722281,-0.149459,-0.155914,0.0169088,0.0289153,-5.08631,-5.09437,1.01442,1.0076,0.135373,0.134606,0.445101,0.423645,0.235654,0.222153,-0.176835,-0.194043,0.683367,0.700446,0.206564,0.186319,-0.0673442,-0.0509099,0.0790033,0.130772,0.00567471,-0.0290114,-0.123274,-0.163253,0.0604537,0.0766153,2.02437,2.01436,-0.163147,-0.13694,-0.207087,-0.109023,-0.0372851,0.0312903,-0.302211,-0.338183,0.173448,0.184778,-0.0279963,-0.0254944,-0.653763,-0.609177,-0.431976,-0.364745,-0.0798615,-0.13216,1.62138,1.53724,1.5708,1.5708,-0.318821,-0.272289,-0.188748,-0.118131,-0.0803203,-0.127105,1.71244,1.62497,1.5708,1.5708
0.084,0.0384897,0.0791832,-0.147598,-0.154411,0.0175224,0.0289052,-5.0673,-5.07527,1.01159,1.00473,0.134371,0.133535,0.43652,0.41444,0.233161,0.219913,-0.18251,-0.199209,0.722539,0.739465,0.239899,0.217644,-0.0664599,-0.0504643,0.136791,0.167376,0.0305654,-0.00352822,-0.119937,-0.159904,0.0554347,0.0722323,2.05755,2.04893,-0.158346,-0.127676,-0.251315,-0.149932,-0.0809666,0.0127891,-0.314362,-0.350623,0.173143,0.185016,-0.0208883,-0.0174079,-0.62508,-0.581545,-0.442294,-0.375356,-0.0770266,-0.12943,1.62337,1.54009,1.5708,1.5708,-0.322318,-0.274964,-0.186736,-0.115741,-0.080313,-0.12874,1.67981,1.58994,1.5708,1.5708
0.088,0.0459115,0.0863874,-0.149723,-0.157212,0.0193678,0.030019,-5.04823,-5.05615,1.00914,1.00218,0.134205,0.133309,0.422753,0.400647,0.236896,0.224529,-0.185056,-0.201282,0.752913,0.769855,0.266143,0.244608,-0.0735499,-0.057204,0.122976,0.157313,0.0538259,0.0208895,-0.124519,-0.165184,0.064864,0.0821191,2.08589,2.07759,-0.152756,-0.126601,-0.235959,-0.138334,0.0200388,0.0730132,-0.327154,-0.36323,0.175239,0.188073,-0.0139995,-0.00909464,-0.593314,-0.551182,-0.450949,-0.384392,-0.0717188,-0.124814,1.62265,1.54021,1.5708,1.5708,-0.325329,-0.276729,-0.185878,-0.114405,-0.0833766,-0.133387,1.64507,1.55247,1.5708,1.5708
0.092,0.051681,0.0927315,-0.152569,-0.160517,0.0260964,0.036033,-5.02993,-5.03776,1.00685,0.999855,0.133157,0.132204,0.408478,0.385302,0.238292,0.226688,-0.190616,-0.206301,0.777386,0.794247,0.294443,0.273566,-0.0759937,-0.0590817,0.121538,0.158583,0.0855167,0.0530596,-0.127028,-0.168137,0.0795632,0.09752,2.11781,2.11043,-0.148059,-0.11705,-0.215222,-0.114571,-0.109965,-0.00401462,-0.339289,-0.375954,0.180533,0.194305,-0.0116303,-0.00517822,-0.559252,-0.518661,-0.460813,-0.394898,-0.066719,-0.120483,1.62147,1.5402,1.5708,1.5708,-0.32725,-0.27761,-0.184975,-0.112852,-0.0842709,-0.135866,1.6124,1.51732,1.5708,1.5708
0.096,0.0559139,0.0970594,-0.155273,-0.164456,0.021481,0.0303059,-5.01137,-5.01913,1.00486,0.997819,0.13321,0.132147,0.391975,0.368108,0.246262,0.236181,-0.17895,-0.19403,0.797232,0.813653,0.318718,0.298369,-0.0777411,-0.0603106,0.117265,0.155114,0.113972,0.0823052,-0.131551,-0.17373,0.0818464,0.100091,2.1434,2.13694,-0.138369,-0.107196,-0.200291,-0.0997537,-0.115852,-0.00540938,-0.350682,-0.387658,0.182022,0.196948,0.00115253,0.00968331,-0.524614,-0.485776,-0.471312,-0.406048,-0.0599872,-0.114445,1.62231,1.54228,1.5708,1.5708,-0.330908,-0.280143,-0.182815,-0.109932,-0.0837154,-0.136992,1.57916,1.48122,1.5708,1.5708
0.1,0.0600503,0.101586,-0.156246,-0.166525,0.0176392,0.0253344,-4.99305,-5.00073,1.00326,0.996221,0.133049,0.13192,0.373347,0.348168,0.252367,0.24376,-0.164001,-0.178348,0.812845,0.828474,0.341942,0.322586,-0.0770501,-0.0588562,0.104527,0.148954,0.144386,0.113145,-0.132333,-0.175505,0.0859519,0.104337,2.16512,2.15929,-0.126756,-0.0986301,-0.18673,-0.0883291,-0.0658817,0.0167622,-0.362346,-0.39992,0.181879,0.197688,0.013199,0.0236727,-0.489391,-0.451975,-0.480921,-0.416279,-0.0547059,-0.109636,1.62262,1.54353,1.5708,1.5708,-0.333894,-0.281979,-0.180617,-0.107146,-0.0844326,-0.139679,1.54547,1.44465,1.5708,1.5708
0.104,0.0631757,0.105184,-0.157149,-0.168588,0.0139597,0.0204539,-4.97455,-4.98214,1.00178,0.99476,0.133019,0.131803,0.353472,0.32678,0.25822,0.251092,-0.148593,-0.162145,0.824682,0.839401,0.364661,0.34418,-0.0735434,-0.0552565,0.0960166,0.124371,0.175913,0.144981,-0.133764,-0.177998,0.0905097,0.109146,2.18508,2.18026,-0.124058,-0.0929465,-0.16955,-0.0693663,-0.133154,-0.0164554,-0.371952,-0.410208,0.181141,0.197913,0.0244632,0.0370242,-0.453032,-0.41734,-0.490064,-0.426129,-0.0471368,-0.102654,1.62403,1.54605,1.5708,1.5708,-0.338279,-0.28519,-0.17836,-0.104279,-0.0863414,-0.143314,1.51579,1.41228,1.5708,1.5708
0.108,0.064774,0.107538,-0.156883,-0.169465,0.00948553,0.0147157,-4.956,-4.96348,1.00044,0.993483,0.133178,0.131887,0.333105,0.304331,0.263683,0.258019,-0.13067,-0.143233,0.833358,0.846977,0.384063,0.365278,-0.0707116,-0.0512994,0.0738886,0.116136,0.209898,0.178924,-0.134019,-0.179363,0.0938164,0.112587,2.20236,2.19833,-0.116525,-0.0854706,-0.154277,-0.0542431,-0.140081,-0.020481,-0.379708,-0.418921,0.17867,0.196253,0.0352415,0.0498647,-0.416904,-0.382791,-0.498796,-0.435561,-0.0400812,-0.0961008,1.6247,1.54766,1.5708,1.5708,-0.344085,-0.289843,-0.17716,-0.10254,-0.0879593,-0.146706,1.48659,1.38043,1.5708,1.5708
0.112,0.0657254,0.109442,-0.152954,-0.166545,0.00281355,0.00683746,-4.93758,-4.94495,0.99938,0.992536,0.13324,0.131903,0.311689,0.280358,0.265483,0.26098,-0.110247,-0.121779,0.840384,0.852511,0.405689,0.387377,-0.0669231,-0.0468171,0.0680745,0.113575,0.243388,0.212057,-0.128987,-0.175194,0.0932174,0.112037,2.21547,2.2122,-0.107317,-0.0782192,-0.148149,-0.0493231,-0.105361,-0.00510449,-0.38683,-0.427174,0.171897,0.189916,0.0473208,0.06358,-0.38131,-0.348327,-0.507351,-0.444593,-0.0341168,-0.0901714,1.62677,1.55036,1.5708,1.5708,-0.349371,-0.294154,-0.175999,-0.101032,-0.08873,-0.14944,1.45913,1.35048,1.5708,1.5708
0.116,0.066311,0.111267,-0.150886,-0.16543,0.000800844,0.00365261,-4.91873,-4.92597,0.998543,0.991839,0.133354,0.131989,0.288322,0.254029,0.268595,0.265344,-0.0940692,-0.104453,0.842356,0.852887,0.422315,0.403453,-0.0657552,-0.0453534,0.0463743,0.0831794,0.279343,0.247421,-0.125953,-0.173224,0.0979284,0.116854,2.22701,2.22439,-0.0966759,-0.0678334,-0.137839,-0.0391287,-0.103609,-0.00439441,-0.391522,-0.433228,0.167876,0.1865,0.0544326,0.0725006,-0.345389,-0.313798,-0.514559,-0.452357,-0.0261307,-0.0824484,1.62913,1.55346,1.5708,1.5708,-0.357592,-0.301132,-0.175778,-0.10049,-0.0914541,-0.154029,1.43163,1.32043,1.5708,1.5708
0.12,0.0663508,0.112542,-0.146801,-0.162117,-0.00172194,1.27118e-05,-4.89984,-4.90694,0.997898,0.991347,0.133518,0.132154,0.264787,0.227397,0.269029,0.266722,-0.0785092,-0.0876847,0.84315,0.851959,0.438347,0.420337,-0.0646794,-0.0435037,0.0358048,0.0807143,0.315462,0.282954,-0.120567,-0.16872,0.10038,0.11932,2.23498,2.23277,-0.0848729,-0.0607595,-0.133634,-0.0377487,-0.00425844,0.047559,-0.395125,-0.438112,0.161472,0.180431,0.0616141,0.0813086,-0.310793,-0.280519,-0.520759,-0.458854,-0.0200015,-0.0765735,1.63349,1.55854,1.5708,1.5708,-0.366023,-0.308373,-0.175962,-0.100597,-0.0937874,-0.157974,1.40675,1.29313,1.5708,1.5708
0.124,0.0659658,0.113685,-0.140343,-0.156141,-0.00382639,-0.0031128,-4.88081,-4.88777,0.997474,0.991106,0.133563,0.132206,0.240544,0.199614,0.265988,0.264141,-0.0648633,-0.0729068,0.841973,0.848878,0.452886,0.435422,-0.0638595,-0.0418562,0.0203711,0.0706821,0.351967,0.318499,-0.111755,-0.160371,0.100831,0.119872,2.24161,2.24021,-0.0696248,-0.0447339,-0.137141,-0.0408475,0.0203921,0.0758133,-0.397366,-0.441852,0.152761,0.171762,0.0677414,0.0886587,-0.277508,-0.248312,-0.526061,-0.464355,-0.0147636,-0.071279,1.63986,1.56558,1.5708,1.5708,-0.375226,-0.316551,-0.176808,-0.101431,-0.0945091,-0.160369,1.38306,1.2672,1.5708,1.5708
0.128,0.0661096,0.115531,-0.131901,-0.147887,-0.00513794,-0.00530501,-4.86141,-4.86823,0.997356,0.99119,0.133738,0.132409,0.214869,0.170135,0.26004,0.258225,-0.053801,-0.0608384,0.8398,0.844592,0.466043,0.448459,-0.0622138,-0.0395783,0.0156859,0.065692,0.387908,0.353275,-0.100465,-0.149177,0.101682,0.120762,2.24347,2.24282,-0.0633637,-0.0385112,-0.133504,-0.0370586,0.0188562,0.0746263,-0.398947,-0.445018,0.141969,0.160734,0.0721745,0.0937683,-0.246046,-0.217569,-0.529122,-0.467503,-0.0108366,-0.0666858,1.65165,1.57805,1.5708,1.5708,-0.385671,-0.326117,-0.178875,-0.103592,-0.0948846,-0.16253,1.36088,1.24308,1.5708,1.5708
